"date","value","group","region","type"
"2021-01-15",2647,"20-29","lombardia","first_dose"
"2021-01-15",3329,"30-39","lombardia","first_dose"
"2021-01-15",4814,"40-49","lombardia","first_dose"
"2021-01-15",6390,"50-59","lombardia","first_dose"
"2021-01-15",2780,"60-69","lombardia","first_dose"
"2021-01-15",1153,"70-79","lombardia","first_dose"
"2021-01-15",2171,"80-89","lombardia","first_dose"
"2021-01-15",1946,"over90","lombardia","first_dose"
"2021-01-15",24,"10-19","lombardia","first_dose"
"2021-01-16",2334,"20-29","lombardia","first_dose"
"2021-01-16",2121,"30-39","lombardia","first_dose"
"2021-01-16",2754,"40-49","lombardia","first_dose"
"2021-01-16",3598,"50-59","lombardia","first_dose"
"2021-01-16",2456,"60-69","lombardia","first_dose"
"2021-01-16",860,"70-79","lombardia","first_dose"
"2021-01-16",741,"80-89","lombardia","first_dose"
"2021-01-16",720,"over90","lombardia","first_dose"
"2021-01-16",66,"10-19","lombardia","first_dose"
"2021-01-17",1604,"20-29","lombardia","first_dose"
"2021-01-17",1151,"30-39","lombardia","first_dose"
"2021-01-17",1483,"40-49","lombardia","first_dose"
"2021-01-17",1932,"50-59","lombardia","first_dose"
"2021-01-17",1213,"60-69","lombardia","first_dose"
"2021-01-17",459,"70-79","lombardia","first_dose"
"2021-01-17",153,"80-89","lombardia","first_dose"
"2021-01-17",128,"over90","lombardia","first_dose"
"2021-01-17",33,"10-19","lombardia","first_dose"
"2021-01-18",721,"20-29","lombardia","first_dose"
"2021-01-18",1176,"30-39","lombardia","first_dose"
"2021-01-18",1555,"40-49","lombardia","first_dose"
"2021-01-18",1946,"50-59","lombardia","first_dose"
"2021-01-18",860,"60-69","lombardia","first_dose"
"2021-01-18",419,"70-79","lombardia","first_dose"
"2021-01-18",784,"80-89","lombardia","first_dose"
"2021-01-18",817,"over90","lombardia","first_dose"
"2021-01-18",4,"10-19","lombardia","first_dose"
"2021-01-19",578,"20-29","lombardia","first_dose"
"2021-01-19",992,"30-39","lombardia","first_dose"
"2021-01-19",1382,"40-49","lombardia","first_dose"
"2021-01-19",1710,"50-59","lombardia","first_dose"
"2021-01-19",748,"60-69","lombardia","first_dose"
"2021-01-19",379,"70-79","lombardia","first_dose"
"2021-01-19",905,"80-89","lombardia","first_dose"
"2021-01-19",882,"over90","lombardia","first_dose"
"2021-01-19",4,"10-19","lombardia","first_dose"
"2021-01-20",439,"20-29","lombardia","first_dose"
"2021-01-20",668,"30-39","lombardia","first_dose"
"2021-01-20",998,"40-49","lombardia","first_dose"
"2021-01-20",1291,"50-59","lombardia","first_dose"
"2021-01-20",504,"60-69","lombardia","first_dose"
"2021-01-20",306,"70-79","lombardia","first_dose"
"2021-01-20",731,"80-89","lombardia","first_dose"
"2021-01-20",658,"over90","lombardia","first_dose"
"2021-01-20",4,"10-19","lombardia","first_dose"
"2021-01-21",405,"20-29","lombardia","first_dose"
"2021-01-21",625,"30-39","lombardia","first_dose"
"2021-01-21",902,"40-49","lombardia","first_dose"
"2021-01-21",1091,"50-59","lombardia","first_dose"
"2021-01-21",446,"60-69","lombardia","first_dose"
"2021-01-21",234,"70-79","lombardia","first_dose"
"2021-01-21",620,"80-89","lombardia","first_dose"
"2021-01-21",497,"over90","lombardia","first_dose"
"2021-01-21",3,"10-19","lombardia","first_dose"
"2021-01-22",293,"20-29","lombardia","first_dose"
"2021-01-22",407,"30-39","lombardia","first_dose"
"2021-01-22",538,"40-49","lombardia","first_dose"
"2021-01-22",659,"50-59","lombardia","first_dose"
"2021-01-22",282,"60-69","lombardia","first_dose"
"2021-01-22",167,"70-79","lombardia","first_dose"
"2021-01-22",428,"80-89","lombardia","first_dose"
"2021-01-22",351,"over90","lombardia","first_dose"
"2021-01-22",1,"10-19","lombardia","first_dose"
"2021-01-23",78,"20-29","lombardia","first_dose"
"2021-01-23",132,"30-39","lombardia","first_dose"
"2021-01-23",167,"40-49","lombardia","first_dose"
"2021-01-23",245,"50-59","lombardia","first_dose"
"2021-01-23",153,"60-69","lombardia","first_dose"
"2021-01-23",34,"70-79","lombardia","first_dose"
"2021-01-23",60,"80-89","lombardia","first_dose"
"2021-01-23",55,"over90","lombardia","first_dose"
"2021-01-23",1,"10-19","lombardia","first_dose"
"2021-01-24",140,"20-29","lombardia","first_dose"
"2021-01-24",84,"30-39","lombardia","first_dose"
"2021-01-24",97,"40-49","lombardia","first_dose"
"2021-01-24",127,"50-59","lombardia","first_dose"
"2021-01-24",47,"60-69","lombardia","first_dose"
"2021-01-24",16,"70-79","lombardia","first_dose"
"2021-01-24",17,"80-89","lombardia","first_dose"
"2021-01-24",10,"over90","lombardia","first_dose"
"2021-01-24",0,"10-19","lombardia","first_dose"
"2021-01-25",105,"20-29","lombardia","first_dose"
"2021-01-25",80,"30-39","lombardia","first_dose"
"2021-01-25",100,"40-49","lombardia","first_dose"
"2021-01-25",119,"50-59","lombardia","first_dose"
"2021-01-25",35,"60-69","lombardia","first_dose"
"2021-01-25",13,"70-79","lombardia","first_dose"
"2021-01-25",41,"80-89","lombardia","first_dose"
"2021-01-25",22,"over90","lombardia","first_dose"
"2021-01-25",0,"10-19","lombardia","first_dose"
"2021-01-26",28,"20-29","lombardia","first_dose"
"2021-01-26",44,"30-39","lombardia","first_dose"
"2021-01-26",69,"40-49","lombardia","first_dose"
"2021-01-26",81,"50-59","lombardia","first_dose"
"2021-01-26",32,"60-69","lombardia","first_dose"
"2021-01-26",17,"70-79","lombardia","first_dose"
"2021-01-26",50,"80-89","lombardia","first_dose"
"2021-01-26",25,"over90","lombardia","first_dose"
"2021-01-26",0,"10-19","lombardia","first_dose"
"2021-01-27",46,"20-29","lombardia","first_dose"
"2021-01-27",70,"30-39","lombardia","first_dose"
"2021-01-27",105,"40-49","lombardia","first_dose"
"2021-01-27",148,"50-59","lombardia","first_dose"
"2021-01-27",76,"60-69","lombardia","first_dose"
"2021-01-27",73,"70-79","lombardia","first_dose"
"2021-01-27",159,"80-89","lombardia","first_dose"
"2021-01-27",128,"over90","lombardia","first_dose"
"2021-01-27",1,"10-19","lombardia","first_dose"
"2021-01-28",41,"20-29","lombardia","first_dose"
"2021-01-28",65,"30-39","lombardia","first_dose"
"2021-01-28",140,"40-49","lombardia","first_dose"
"2021-01-28",155,"50-59","lombardia","first_dose"
"2021-01-28",59,"60-69","lombardia","first_dose"
"2021-01-28",55,"70-79","lombardia","first_dose"
"2021-01-28",151,"80-89","lombardia","first_dose"
"2021-01-28",131,"over90","lombardia","first_dose"
"2021-01-28",0,"10-19","lombardia","first_dose"
"2021-01-29",38,"20-29","lombardia","first_dose"
"2021-01-29",71,"30-39","lombardia","first_dose"
"2021-01-29",121,"40-49","lombardia","first_dose"
"2021-01-29",161,"50-59","lombardia","first_dose"
"2021-01-29",62,"60-69","lombardia","first_dose"
"2021-01-29",41,"70-79","lombardia","first_dose"
"2021-01-29",101,"80-89","lombardia","first_dose"
"2021-01-29",90,"over90","lombardia","first_dose"
"2021-01-29",0,"10-19","lombardia","first_dose"
"2021-01-30",28,"20-29","lombardia","first_dose"
"2021-01-30",16,"30-39","lombardia","first_dose"
"2021-01-30",23,"40-49","lombardia","first_dose"
"2021-01-30",34,"50-59","lombardia","first_dose"
"2021-01-30",19,"60-69","lombardia","first_dose"
"2021-01-30",10,"70-79","lombardia","first_dose"
"2021-01-30",9,"80-89","lombardia","first_dose"
"2021-01-30",6,"over90","lombardia","first_dose"
"2021-01-30",0,"10-19","lombardia","first_dose"
"2021-01-31",1,"20-29","lombardia","first_dose"
"2021-01-31",2,"30-39","lombardia","first_dose"
"2021-01-31",7,"40-49","lombardia","first_dose"
"2021-01-31",13,"50-59","lombardia","first_dose"
"2021-01-31",4,"60-69","lombardia","first_dose"
"2021-01-31",2,"70-79","lombardia","first_dose"
"2021-01-31",0,"80-89","lombardia","first_dose"
"2021-01-31",0,"over90","lombardia","first_dose"
"2021-01-31",0,"10-19","lombardia","first_dose"
"2021-02-01",8,"20-29","lombardia","first_dose"
"2021-02-01",25,"30-39","lombardia","first_dose"
"2021-02-01",53,"40-49","lombardia","first_dose"
"2021-02-01",56,"50-59","lombardia","first_dose"
"2021-02-01",27,"60-69","lombardia","first_dose"
"2021-02-01",26,"70-79","lombardia","first_dose"
"2021-02-01",50,"80-89","lombardia","first_dose"
"2021-02-01",63,"over90","lombardia","first_dose"
"2021-02-01",0,"10-19","lombardia","first_dose"
"2021-02-02",40,"20-29","lombardia","first_dose"
"2021-02-02",71,"30-39","lombardia","first_dose"
"2021-02-02",95,"40-49","lombardia","first_dose"
"2021-02-02",123,"50-59","lombardia","first_dose"
"2021-02-02",51,"60-69","lombardia","first_dose"
"2021-02-02",21,"70-79","lombardia","first_dose"
"2021-02-02",51,"80-89","lombardia","first_dose"
"2021-02-02",45,"over90","lombardia","first_dose"
"2021-02-02",0,"10-19","lombardia","first_dose"
"2021-02-03",81,"20-29","lombardia","first_dose"
"2021-02-03",120,"30-39","lombardia","first_dose"
"2021-02-03",199,"40-49","lombardia","first_dose"
"2021-02-03",257,"50-59","lombardia","first_dose"
"2021-02-03",97,"60-69","lombardia","first_dose"
"2021-02-03",58,"70-79","lombardia","first_dose"
"2021-02-03",138,"80-89","lombardia","first_dose"
"2021-02-03",127,"over90","lombardia","first_dose"
"2021-02-03",0,"10-19","lombardia","first_dose"
"2021-02-04",118,"20-29","lombardia","first_dose"
"2021-02-04",211,"30-39","lombardia","first_dose"
"2021-02-04",327,"40-49","lombardia","first_dose"
"2021-02-04",393,"50-59","lombardia","first_dose"
"2021-02-04",184,"60-69","lombardia","first_dose"
"2021-02-04",126,"70-79","lombardia","first_dose"
"2021-02-04",355,"80-89","lombardia","first_dose"
"2021-02-04",332,"over90","lombardia","first_dose"
"2021-02-04",0,"10-19","lombardia","first_dose"
"2021-02-05",201,"20-29","lombardia","first_dose"
"2021-02-05",259,"30-39","lombardia","first_dose"
"2021-02-05",366,"40-49","lombardia","first_dose"
"2021-02-05",425,"50-59","lombardia","first_dose"
"2021-02-05",181,"60-69","lombardia","first_dose"
"2021-02-05",151,"70-79","lombardia","first_dose"
"2021-02-05",428,"80-89","lombardia","first_dose"
"2021-02-05",419,"over90","lombardia","first_dose"
"2021-02-05",0,"10-19","lombardia","first_dose"
"2021-02-06",60,"20-29","lombardia","first_dose"
"2021-02-06",107,"30-39","lombardia","first_dose"
"2021-02-06",176,"40-49","lombardia","first_dose"
"2021-02-06",227,"50-59","lombardia","first_dose"
"2021-02-06",86,"60-69","lombardia","first_dose"
"2021-02-06",48,"70-79","lombardia","first_dose"
"2021-02-06",176,"80-89","lombardia","first_dose"
"2021-02-06",134,"over90","lombardia","first_dose"
"2021-02-06",1,"10-19","lombardia","first_dose"
"2021-02-07",23,"20-29","lombardia","first_dose"
"2021-02-07",52,"30-39","lombardia","first_dose"
"2021-02-07",77,"40-49","lombardia","first_dose"
"2021-02-07",100,"50-59","lombardia","first_dose"
"2021-02-07",38,"60-69","lombardia","first_dose"
"2021-02-07",8,"70-79","lombardia","first_dose"
"2021-02-07",15,"80-89","lombardia","first_dose"
"2021-02-07",21,"over90","lombardia","first_dose"
"2021-02-07",0,"10-19","lombardia","first_dose"
"2021-02-08",225,"20-29","lombardia","first_dose"
"2021-02-08",230,"30-39","lombardia","first_dose"
"2021-02-08",327,"40-49","lombardia","first_dose"
"2021-02-08",398,"50-59","lombardia","first_dose"
"2021-02-08",201,"60-69","lombardia","first_dose"
"2021-02-08",136,"70-79","lombardia","first_dose"
"2021-02-08",308,"80-89","lombardia","first_dose"
"2021-02-08",296,"over90","lombardia","first_dose"
"2021-02-08",3,"10-19","lombardia","first_dose"
"2021-02-09",222,"20-29","lombardia","first_dose"
"2021-02-09",346,"30-39","lombardia","first_dose"
"2021-02-09",497,"40-49","lombardia","first_dose"
"2021-02-09",655,"50-59","lombardia","first_dose"
"2021-02-09",384,"60-69","lombardia","first_dose"
"2021-02-09",347,"70-79","lombardia","first_dose"
"2021-02-09",839,"80-89","lombardia","first_dose"
"2021-02-09",732,"over90","lombardia","first_dose"
"2021-02-09",1,"10-19","lombardia","first_dose"
"2021-02-10",1195,"20-29","lombardia","first_dose"
"2021-02-10",912,"30-39","lombardia","first_dose"
"2021-02-10",1029,"40-49","lombardia","first_dose"
"2021-02-10",1290,"50-59","lombardia","first_dose"
"2021-02-10",1198,"60-69","lombardia","first_dose"
"2021-02-10",693,"70-79","lombardia","first_dose"
"2021-02-10",654,"80-89","lombardia","first_dose"
"2021-02-10",586,"over90","lombardia","first_dose"
"2021-02-10",7,"10-19","lombardia","first_dose"
"2021-02-11",1508,"20-29","lombardia","first_dose"
"2021-02-11",1164,"30-39","lombardia","first_dose"
"2021-02-11",1320,"40-49","lombardia","first_dose"
"2021-02-11",1987,"50-59","lombardia","first_dose"
"2021-02-11",1425,"60-69","lombardia","first_dose"
"2021-02-11",572,"70-79","lombardia","first_dose"
"2021-02-11",890,"80-89","lombardia","first_dose"
"2021-02-11",760,"over90","lombardia","first_dose"
"2021-02-11",6,"10-19","lombardia","first_dose"
"2021-02-12",1712,"20-29","lombardia","first_dose"
"2021-02-12",1110,"30-39","lombardia","first_dose"
"2021-02-12",1447,"40-49","lombardia","first_dose"
"2021-02-12",1769,"50-59","lombardia","first_dose"
"2021-02-12",1196,"60-69","lombardia","first_dose"
"2021-02-12",559,"70-79","lombardia","first_dose"
"2021-02-12",630,"80-89","lombardia","first_dose"
"2021-02-12",446,"over90","lombardia","first_dose"
"2021-02-12",9,"10-19","lombardia","first_dose"
"2021-02-13",945,"20-29","lombardia","first_dose"
"2021-02-13",562,"30-39","lombardia","first_dose"
"2021-02-13",654,"40-49","lombardia","first_dose"
"2021-02-13",1004,"50-59","lombardia","first_dose"
"2021-02-13",913,"60-69","lombardia","first_dose"
"2021-02-13",408,"70-79","lombardia","first_dose"
"2021-02-13",223,"80-89","lombardia","first_dose"
"2021-02-13",164,"over90","lombardia","first_dose"
"2021-02-13",9,"10-19","lombardia","first_dose"
"2021-02-14",412,"20-29","lombardia","first_dose"
"2021-02-14",523,"30-39","lombardia","first_dose"
"2021-02-14",348,"40-49","lombardia","first_dose"
"2021-02-14",528,"50-59","lombardia","first_dose"
"2021-02-14",728,"60-69","lombardia","first_dose"
"2021-02-14",297,"70-79","lombardia","first_dose"
"2021-02-14",68,"80-89","lombardia","first_dose"
"2021-02-14",21,"over90","lombardia","first_dose"
"2021-02-14",4,"10-19","lombardia","first_dose"
"2021-02-15",1230,"20-29","lombardia","first_dose"
"2021-02-15",1353,"30-39","lombardia","first_dose"
"2021-02-15",1454,"40-49","lombardia","first_dose"
"2021-02-15",1691,"50-59","lombardia","first_dose"
"2021-02-15",1232,"60-69","lombardia","first_dose"
"2021-02-15",688,"70-79","lombardia","first_dose"
"2021-02-15",441,"80-89","lombardia","first_dose"
"2021-02-15",293,"over90","lombardia","first_dose"
"2021-02-15",7,"10-19","lombardia","first_dose"
"2021-02-16",1061,"20-29","lombardia","first_dose"
"2021-02-16",1542,"30-39","lombardia","first_dose"
"2021-02-16",1970,"40-49","lombardia","first_dose"
"2021-02-16",1800,"50-59","lombardia","first_dose"
"2021-02-16",1192,"60-69","lombardia","first_dose"
"2021-02-16",539,"70-79","lombardia","first_dose"
"2021-02-16",492,"80-89","lombardia","first_dose"
"2021-02-16",364,"over90","lombardia","first_dose"
"2021-02-16",5,"10-19","lombardia","first_dose"
"2021-02-17",1617,"20-29","lombardia","first_dose"
"2021-02-17",1892,"30-39","lombardia","first_dose"
"2021-02-17",2080,"40-49","lombardia","first_dose"
"2021-02-17",2075,"50-59","lombardia","first_dose"
"2021-02-17",1116,"60-69","lombardia","first_dose"
"2021-02-17",600,"70-79","lombardia","first_dose"
"2021-02-17",554,"80-89","lombardia","first_dose"
"2021-02-17",492,"over90","lombardia","first_dose"
"2021-02-17",4,"10-19","lombardia","first_dose"
"2021-02-18",1714,"20-29","lombardia","first_dose"
"2021-02-18",1819,"30-39","lombardia","first_dose"
"2021-02-18",1843,"40-49","lombardia","first_dose"
"2021-02-18",1722,"50-59","lombardia","first_dose"
"2021-02-18",884,"60-69","lombardia","first_dose"
"2021-02-18",467,"70-79","lombardia","first_dose"
"2021-02-18",2110,"80-89","lombardia","first_dose"
"2021-02-18",2239,"over90","lombardia","first_dose"
"2021-02-18",3,"10-19","lombardia","first_dose"
"2021-02-19",1528,"20-29","lombardia","first_dose"
"2021-02-19",1629,"30-39","lombardia","first_dose"
"2021-02-19",1754,"40-49","lombardia","first_dose"
"2021-02-19",1661,"50-59","lombardia","first_dose"
"2021-02-19",788,"60-69","lombardia","first_dose"
"2021-02-19",394,"70-79","lombardia","first_dose"
"2021-02-19",3741,"80-89","lombardia","first_dose"
"2021-02-19",1794,"over90","lombardia","first_dose"
"2021-02-19",6,"10-19","lombardia","first_dose"
"2021-02-20",1067,"20-29","lombardia","first_dose"
"2021-02-20",1291,"30-39","lombardia","first_dose"
"2021-02-20",1332,"40-49","lombardia","first_dose"
"2021-02-20",1182,"50-59","lombardia","first_dose"
"2021-02-20",655,"60-69","lombardia","first_dose"
"2021-02-20",306,"70-79","lombardia","first_dose"
"2021-02-20",2451,"80-89","lombardia","first_dose"
"2021-02-20",531,"over90","lombardia","first_dose"
"2021-02-20",4,"10-19","lombardia","first_dose"
"2021-02-21",399,"20-29","lombardia","first_dose"
"2021-02-21",644,"30-39","lombardia","first_dose"
"2021-02-21",664,"40-49","lombardia","first_dose"
"2021-02-21",546,"50-59","lombardia","first_dose"
"2021-02-21",260,"60-69","lombardia","first_dose"
"2021-02-21",100,"70-79","lombardia","first_dose"
"2021-02-21",2025,"80-89","lombardia","first_dose"
"2021-02-21",278,"over90","lombardia","first_dose"
"2021-02-21",4,"10-19","lombardia","first_dose"
"2021-02-22",979,"20-29","lombardia","first_dose"
"2021-02-22",1422,"30-39","lombardia","first_dose"
"2021-02-22",1766,"40-49","lombardia","first_dose"
"2021-02-22",1542,"50-59","lombardia","first_dose"
"2021-02-22",790,"60-69","lombardia","first_dose"
"2021-02-22",335,"70-79","lombardia","first_dose"
"2021-02-22",3976,"80-89","lombardia","first_dose"
"2021-02-22",576,"over90","lombardia","first_dose"
"2021-02-22",28,"10-19","lombardia","first_dose"
"2021-02-23",866,"20-29","lombardia","first_dose"
"2021-02-23",1357,"30-39","lombardia","first_dose"
"2021-02-23",1641,"40-49","lombardia","first_dose"
"2021-02-23",1489,"50-59","lombardia","first_dose"
"2021-02-23",759,"60-69","lombardia","first_dose"
"2021-02-23",364,"70-79","lombardia","first_dose"
"2021-02-23",3351,"80-89","lombardia","first_dose"
"2021-02-23",1421,"over90","lombardia","first_dose"
"2021-02-23",18,"10-19","lombardia","first_dose"
"2021-02-24",868,"20-29","lombardia","first_dose"
"2021-02-24",1333,"30-39","lombardia","first_dose"
"2021-02-24",1591,"40-49","lombardia","first_dose"
